,title,model_family,downstream_application,omics_modality
433,Leveraging artificial intelligence in antibody-drug conjugate development: from target identification to clinical translation in oncology.,multimodal_fusion,"perturbation_prediction, batch_correction, multimodal_integration",unspecified
434,Radiogenomics: transforming lung cancer care through non-invasive imaging and genomic integration.,multimodal_fusion,"batch_correction, multimodal_integration",unspecified
435,A narrative review of imaging intratumor heterogeneity in non-small cell lung cancer: current advances.,multimodal_fusion,"biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration",Spatial
436,Artificial intelligence in bioinformatics: a survey.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
437,[Clinical practice and challenges from simple models to precise integration for serological evaluation of a non-invasive diagnosis of liver fibrosis].,multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration",unspecified
438,Integrated multi-omics reveals glycolytic gene signatures of lung adenocarcinoma brain metastasis and the impact of Rac2 lactylation on immunosuppressive microenvironment.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
439,Integrative deep learning of spatial multi-omics with SWITCH.,multimodal_fusion,"batch_correction, spatial_reconstruction, trajectory_inference, multimodal_integration",Spatial
440,Integrating Spatial Omics and Deep Learning: Toward Predictive Models of Cardiomyocyte Differentiation Efficiency.,graph_neural_network,"generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial, Methylation/Epigenomics"
441,"Transformative advances in single-cell omics: a comprehensive review of foundation models, multimodal integration and computational ecosystems.",multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial, Methylation/Epigenomics"
442,Multi-omics and Mendelian randomization identify  as a causal protective gene and NK cell-mediated prognostic biomarker in lung adenocarcinoma.,multimodal_fusion,"biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
443,Pain - related methylation driver genes affect the prognosis of pancreatic cancer patients by altering immune function and perineural infiltration.,multimodal_fusion,"biomarker_discovery, multimodal_integration","Protein/CITE-seq, Methylation/Epigenomics"
444,scooby: modeling multimodal genomic profiles from DNA sequence at single-cell resolution.,multimodal_fusion,multimodal_integration,"scRNA-seq, scATAC-seq, Methylation/Epigenomics"
445,Strategies for the drug development of cancer therapeutics.,multimodal_fusion,"perturbation_prediction, batch_correction, multimodal_integration",Protein/CITE-seq
446,Leveraging knowledge for explainable AI in personalized cancer treatment: challenges and future directions.,multimodal_fusion,"batch_correction, multimodal_integration",unspecified
447,[The application and challenges of multi-modal data fusion based on deep learning in pathology].,multimodal_fusion,"cell_type_annotation, multimodal_integration",unspecified
448,Computational toxicology in drug discovery: applications of artificial intelligence in ADMET and toxicity prediction.,multimodal_fusion,"perturbation_prediction, batch_correction, multimodal_integration",unspecified
449,"[A Three‒Tiered AI Framework Toward Precision Oncology-Structuring, Reclassification, and Integration].",multimodal_fusion,"cell_type_annotation, batch_correction, generation, multimodal_integration",Methylation/Epigenomics
450,SurvBoard: standardized benchmarking for multi-omics cancer survival models.,multimodal_fusion,"batch_correction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
451,ReduXis: A Comprehensive Framework for Robust Event-Based Modeling and Profiling of High-Dimensional Biomedical Data.,foundation_scale_pretraining,"cell_type_annotation, biomarker_discovery, generation",unspecified
452,Leveraging Multimodal Foundation Models in Biliary Tract Cancer Research.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, multimodal_integration",unspecified
453,Dynamic Synthesis of Multi-Modal Representations for CITE-seq Data Integration and Analysis.,multimodal_fusion,"cell_type_annotation, batch_correction, generation, multimodal_integration","scRNA-seq, Protein/CITE-seq"
454,Sea cucumber polypeptide ameliorates aging properties via the brain-gut axis in naturally aging mice.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, multimodal_integration",scRNA-seq
455,An Interdisciplinary Ecosystem for the Prevention of Cardiotoxicity in Older Patients With Breast Cancer: Protocol for a Prospective and Multicentric Study.,multimodal_fusion,"biomarker_discovery, multimodal_integration",unspecified
456,Self-Normalizing Multi-Omics Neural Network for Pan-Cancer Prognostication.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, multimodal_integration","Protein/CITE-seq, Methylation/Epigenomics"
457,Multimodal fusion radiomic-immunologic scoring model: accurate identification of prostate cancer progression.,multimodal_fusion,multimodal_integration,unspecified
458,A technical review of multi-omics data integration methods: from classical statistical to deep generative approaches.,variational_autoencoder,"batch_correction, generation, multimodal_integration",unspecified
459,NAVIGATOR: A regional multimodal imaging biobank initiative powered by AI tools for precision medicine in oncology.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, batch_correction, multimodal_integration",unspecified
460,Learning interpretable representations of single-cell multi-omics data with multi-output Gaussian processes.,variational_autoencoder,"cell_type_annotation, biomarker_discovery, multimodal_integration",unspecified
461,Deep phenotyping of health-disease continuum in the Human Phenotype Project.,multimodal_fusion,"biomarker_discovery, multimodal_integration",scRNA-seq
462,S100a9 Aggravates Ischemia Brain Injury via Pyroptosis Pathway: A Potential Prognostic Biomarker and Therapeutic Target for Ischemic Stroke.,multimodal_fusion,"perturbation_prediction, biomarker_discovery",unspecified
463,The Spatial Atlas of Human Anatomy (SAHA): A Multimodal Subcellular-Resolution Reference Across Human Organs.,multimodal_fusion,"generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
464,"Multi-modal models using fMRI, urine and serum biomarkers for classification and risk prognosis in diabetic kidney disease.",multimodal_fusion,"cell_type_annotation, biomarker_discovery, multimodal_integration",unspecified
465,Integrating GWAS and Transcriptomic Data Using PrediXcan and Multimodal Deep Learning Reveals Genetic Basis and Drug Repositioning Opportunities for Alzheimer's Disease.,variational_autoencoder,"perturbation_prediction, multimodal_integration",unspecified
466,Muon: multimodal omics analysis framework,multimodal_fusion,multimodal_integration,unspecified
467,IDDF2023-ABS-0192 Multi-omics landscape of disease progression characterized by an interpretable multimodal model vec3d,multimodal_fusion,multimodal_integration,unspecified
468,Fine-tuning an ICL Tabular Foundation Model for Multi-Omics Prediction,multimodal_fusion,multimodal_integration,unspecified
469,Multi-task learning from single-cell multimodal omics with Matilda,multimodal_fusion,"cell_type_annotation, generation, multimodal_integration",unspecified
470,LunarFM: A Multimodal Foundation Model for Lunar Science,transformer_masked_lm,"generation, spatial_reconstruction, multimodal_integration",Spatial
471,Multimodal deep learning approaches for single-cell multi-omics data integration,multimodal_fusion,"batch_correction, multimodal_integration",unspecified
472,A generalization of t-SNE and UMAP to single-cell multimodal omics,multimodal_fusion,"cell_type_annotation, batch_correction, trajectory_inference, multimodal_integration",Protein/CITE-seq
473,Multimodal Methods for Knowledge Discovery from Bulk and Single-Cell Multi-Omics Data,multimodal_fusion,multimodal_integration,unspecified
474,VARLOMS: A Multimodal CVAE Framework for Synthetic 3D MRI Generation from Multi-Omics Data,variational_autoencoder,"generation, multimodal_integration",unspecified
475,MoTIF: a Method for Trustworthy Dynamic Multimodal Learning on Omics,multimodal_fusion,multimodal_integration,unspecified
476,Analysis of the Value of Quantitative Features in Multimodal MRI Images to Construct a Radio-Omics Model for Breast Cancer Diagnosis,multimodal_fusion,multimodal_integration,unspecified
477,MMBCSurv: Multimodal Breast Cancer Survival Prediction Integrating Histopathology Images and Multi-Omics Data via Dynamic Fusion,multimodal_fusion,multimodal_integration,unspecified
478,A multimodal omics framework to empower target discovery for cardiovascular regeneration,multimodal_fusion,"generation, multimodal_integration",scRNA-seq
479,SmartCityFM: A Multimodal Foundation Model for Urban Intelligence Trained on Telecom Network Data,multimodal_fusion,multimodal_integration,unspecified
480,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,multimodal_fusion,"cell_type_annotation, perturbation_prediction, multimodal_integration",scRNA-seq
481,HUMAN MODALITIES IN HUMAN–ROBOT INTERACTION: A REVIEW FROM MULTIMODAL AND FOUNDATION MODEL PERSPECTIVES,multimodal_fusion,multimodal_integration,unspecified
482,Comprehensive Benchmarking of CITE-seq versus DOGMA-seq Single Cell Multimodal Omics,multimodal_fusion,"trajectory_inference, multimodal_integration","scRNA-seq, scATAC-seq, Protein/CITE-seq"
483,Ensemble deep learning of embeddings for clustering multimodal single-cell omics data,variational_autoencoder,"generation, multimodal_integration","scATAC-seq, Protein/CITE-seq"
484,Method of the Year 2019: Single-cell multimodal omics,multimodal_fusion,multimodal_integration,unspecified
485,Triad-LMF: A Hierarchical Low-Rank Multimodal Fusion Framework for Robust Cancer Subtype Classification Using Multi-Omics Data,multimodal_fusion,"cell_type_annotation, batch_correction, multimodal_integration",unspecified
486,Integrated Multimodal Omics and Dietary Approaches for the Management of Neurodegeneration,multimodal_fusion,"biomarker_discovery, generation, multimodal_integration",Protein/CITE-seq
487,Multimodal generation of astrocyte by integrating single-cell multi-omics data via deep learning,multimodal_fusion,"cell_type_annotation, generation, spatial_reconstruction, multimodal_integration",Spatial
488,Integration of Multimodal Large Language Models in Medical Imaging and Omics Data: A Comprehensive Review,multimodal_fusion,"cell_type_annotation, biomarker_discovery, batch_correction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
